"Movie","Distributor","Gross","Change","Thtrs.","Per Thtr.","Total Gross","Days","UpdateDate"
"Pokémon: Detective P","Warner Bros.",1670035,-0.39,4248,393,101217729,13,525
"Poms","STX Entertainment",376761,-0.35,2750,137,11407419,13,525
"The Hustle","MGM",602362,-0.38,3077,196,25490725,13,525
"A Dog’s Journey","Universal",553525,-0.45,3267,169,10285525,6,525
"John Wick: Chapter 3","Lionsgate",4141103,-0.36,3850,1076,73177579,6,525
"The Sun is Also a St","Warner Bros.",213258,-0.4,2073,103,3306347,6,525
"Meeting Gorbachev","1091 Media",4799,0.47,36,133,112759,20,525
"Student of the Year ","FIP",10141,-0.39,189,54,773647,13,525
"The Biggest Little F","Neon",28627,-0.02,45,636,502743,13,525
"Tolkien","Fox Searchlight",102597,-0.21,1501,68,4112105,13,525
"Trial by Fire","Roadside Attractions",11238,-0.24,109,103,115649,6,525
"The Tomorrow Man","Bleecker Street",2444,NA,4,611,2444,1,525
"Long Shot","Lionsgate",247631,-0.3,2110,117,27128097,21,525
"The Intruder","Sony Pictures",301232,-0.17,2231,135,29665541,21,525
"UglyDolls","STX Entertainment",139574,-0.07,2030,69,18220142,21,525
"Pokémon: Detective P","Warner Bros.",1604893,-0.04,4248,378,102822622,14,525
"Poms","STX Entertainment",305692,-0.19,2750,111,11713111,14,525
"The Hustle","MGM",534244,-0.11,3077,174,26024969,14,525
"A Dog’s Journey","Universal",545010,-0.02,3267,167,10830535,7,525
"John Wick: Chapter 3","Lionsgate",3461362,-0.16,3850,899,76638941,7,525
"The Sun is Also a St","Warner Bros.",180477,-0.15,2073,87,3486824,7,525
"Meeting Gorbachev","1091 Media",4118,-0.14,36,114,116877,21,525
"Student of the Year ","FIP",4919,-0.51,189,26,778566,14,525
"The Biggest Little F","Neon",27195,-0.05,45,604,529938,14,525
"Tolkien","Fox Searchlight",80545,-0.21,1501,54,4192650,14,525
"Trial by Fire","Roadside Attractions",9031,-0.2,109,83,124680,7,525
"The Tomorrow Man","Bleecker Street",1968,-0.19,4,492,4412,2,525
"Long Shot","Lionsgate",439000,0.77,1358,323,27567097,22,525
"The Intruder","Sony Pictures",605000,1.01,1612,375,30270541,22,525
"UglyDolls","STX Entertainment",140000,NA,1090,128,18360142,22,525
"Pokémon: Detective P","Warner Bros.",3405000,1.12,3824,890,106227622,15,525
"Poms","STX Entertainment",180000,-0.41,911,198,11893111,15,525
"The Hustle","MGM",1059256,0.98,2377,446,27084225,15,525
"A Dog’s Journey","Universal",1110000,1.04,3279,339,11940535,8,525
"John Wick: Chapter 3","Lionsgate",6605000,0.91,3850,1716,83243941,8,525
"The Sun is Also a St","Warner Bros.",255000,0.41,2073,123,3741824,8,525
"Booksmart","Annapurna Pictures",2500000,NA,2505,998,2500000,1,525
"BrightBurn","Sony Pictures",3025000,NA,2607,1160,3025000,1,525
"Meeting Gorbachev","1091 Media",8412,1.04,32,263,125289,22,525
"The Biggest Little F","Neon",156222,4.74,180,868,686160,15,525
"Tolkien","Fox Searchlight",38000,-0.53,189,201,4230650,15,525
"Long Shot","Lionsgate",585000,0.33,1358,431,28152097,23,525
"The Intruder","Sony Pictures",865000,0.43,1612,537,31135541,23,525
"UglyDolls","STX Entertainment",240000,0.71,1090,220,18600142,23,525
"Pokémon: Detective P","Warner Bros.",5140000,0.51,3824,1344,111367622,16,525
"Poms","STX Entertainment",230000,0.28,911,252,12123111,16,525
